manchete,subtitulo,texto,data_publicacao,autor,classificacao_etaria,categoria
Iste unde blanditiis earum veniam eius esse.,Ab qui atque consequuntur aperiam ab repudiandae magnam quasi dolor quod.,Recusandae facere necessitatibus fugit. Quam asperiores amet libero itaque nulla. Nobis accusamus facere. A praesentium voluptatum itaque aut laborum qui. Eius perspiciatis voluptates fugiat harum eius harum. Ab eaque assumenda rem distinctio maiores quos architecto. Libero mollitia earum ipsa expedita.,2024-06-05,Sarah Araújo,10,Ciência
Architecto debitis voluptates quis reiciendis recusandae mollitia.,Iure sit tempore ad soluta quod enim libero culpa voluptates asperiores doloremque ipsum.,Explicabo eligendi recusandae. Quos animi temporibus quisquam tempore commodi tempora. Eaque dolorum minus repudiandae magnam rerum.,2024-05-26,Sophie Pires,14,Economia
Ab ipsum occaecati at repellendus corporis.,Occaecati ut repudiandae et cum molestiae vel illo consequuntur consequuntur.,Cumque inventore quo totam sapiente quis sint. Nesciunt rerum similique porro. Corporis ipsum deleniti nisi eos sed. Voluptatibus earum iste incidunt nihil. Incidunt facere voluptatum ea officia illum quisquam. Quia nemo reprehenderit rerum est nam suscipit.,2024-01-06,Isaac Pacheco,12,Economia
Maxime libero harum sint ea voluptates laudantium.,Voluptates quos inventore possimus rem impedit voluptatibus.,Repellat amet consequatur placeat impedit excepturi vero. Nisi commodi hic possimus. Sit excepturi laudantium itaque. Optio praesentium non dolores fugiat dignissimos nisi. Possimus eos natus occaecati doloribus eveniet aspernatur. Magnam repellendus adipisci quo neque adipisci nam.,2024-05-02,Sr. Davi Lucca Sá,10,Esportes
Dolore perferendis error.,Iusto atque sunt pariatur quisquam et neque quas soluta corrupti excepturi temporibus.,Minus vitae possimus ipsa accusantium dicta. Sed sint quia unde nam ipsum natus. Quod eligendi illum dolores. Eveniet nisi expedita neque est. Sapiente iste totam id. Sunt voluptates aspernatur incidunt quia sapiente quas non.,2024-01-18,João Vitor Aragão,10,Entretenimento
Asperiores laborum commodi eaque doloremque.,Odit eum explicabo labore exercitationem nulla.,Animi veniam tenetur necessitatibus. Adipisci illum ipsa architecto. Facilis deserunt eos vel dolorem delectus sint. Sed accusamus officiis nesciunt provident cum. Corrupti amet cum. Voluptatibus quis labore incidunt eligendi non.,2024-10-25,Ana Júlia Santos,16,Entretenimento
Commodi veniam tempora soluta.,Quaerat delectus quo quibusdam ratione ipsum cumque earum quod.,Voluptatibus hic provident iste dolorem. Dicta doloremque earum esse quisquam adipisci. Modi magni amet necessitatibus repudiandae voluptas delectus.,2024-11-27,Diego Albuquerque,10,Política
Corrupti atque officiis non.,Dolor ipsam neque temporibus inventore itaque in officiis.,Et asperiores eos facilis natus similique ut. Aspernatur nemo assumenda quis et inventore. Dolorum unde quis dolor deleniti sed. Tempora esse deserunt temporibus beatae amet. Corporis laborum quia quisquam totam.,2024-05-12,Anthony Marques,0,Tecnologia
Beatae vero deleniti sit iure et dolorem.,Hic eum aut consequatur ab inventore possimus dicta sit qui esse harum sed.,Officia accusamus ut voluptatem praesentium earum. Totam natus ratione explicabo molestiae assumenda. Beatae ipsa distinctio veritatis esse libero illo. Incidunt vitae ut temporibus nam at ab. Veniam adipisci ratione placeat id mollitia. Corporis ducimus error.,2024-06-01,Vinícius Cavalcante,16,Esportes
Cupiditate quam ratione corporis.,Minus libero nisi porro voluptate accusamus asperiores aliquam aliquid nulla voluptatem suscipit.,Corporis perspiciatis similique porro saepe quaerat. Laboriosam repellendus magni beatae iste deserunt consectetur quisquam. Quibusdam impedit ab architecto. Magnam quisquam rerum earum sapiente similique. Deleniti a consequatur vitae numquam.,2024-08-27,Luiz Felipe Pastor,16,Economia
Ipsum libero distinctio rem fugit.,Perspiciatis magni amet et architecto facere.,Iusto necessitatibus vel error expedita veniam voluptatem. Adipisci eos doloremque porro officiis alias. Dicta sunt animi dolores quis repellat.,2024-03-24,André Costa,16,Ciência
Autem deleniti voluptatibus eos saepe earum.,Quam officiis consequuntur repellat a accusantium aut.,Et molestias est doloribus et deserunt ducimus. Quis deleniti doloribus laudantium quidem. Dicta quae nobis modi quia omnis. Explicabo nihil nisi excepturi. Eligendi minus tempora expedita accusamus harum. Quis perspiciatis dolore consequatur nobis cum atque occaecati.,2024-01-26,Dra. Ísis Andrade,14,Ciência
Dicta totam eaque cupiditate repellendus.,Quam labore animi quibusdam ad aliquam dolorem est nesciunt doloremque recusandae natus.,Odio architecto provident distinctio eveniet iste. Sed repellat id voluptatum inventore qui mollitia. Consequuntur ea maiores quas. Nisi nulla aperiam doloribus. Maiores sequi porro aspernatur. Sequi eos veritatis beatae dolorem.,2024-08-31,Maria Eduarda das Neves,12,Entretenimento
Eaque dolores ad ut tempora.,Earum repellendus vero deleniti amet ipsa.,Architecto fugiat eos delectus soluta facilis. Modi at commodi aut. Sapiente amet numquam consectetur quia voluptates. Provident est maiores debitis. Consequatur aliquid sapiente totam reprehenderit autem.,2024-09-27,Marcelo Correia,14,Esportes
Sequi ea corporis officiis totam repellat iure quod.,Pariatur dignissimos tempore possimus provident eaque ea voluptatem commodi optio ea.,Deserunt adipisci natus repellendus deleniti nobis harum. Voluptas vel cupiditate corrupti tenetur incidunt. Rerum unde fugiat. Veniam incidunt consequatur. Non aperiam amet sapiente non pariatur.,2024-09-20,Srta. Isadora Campos,0,Tecnologia
Dolorum iure cum veniam reprehenderit nostrum perferendis eligendi.,Accusamus eius sapiente voluptatem consequuntur exercitationem et ipsa delectus.,Eius voluptatum quis beatae nobis deserunt soluta. Est voluptate incidunt magnam cumque. Sint laborum maiores earum itaque recusandae maiores.,2024-01-05,Mathias Lima,18,Entretenimento
Similique asperiores architecto laboriosam.,Dignissimos doloremque beatae odit itaque quas.,Ullam tenetur eos excepturi veritatis. Facere incidunt nesciunt ipsa cumque suscipit. Consequatur iusto inventore voluptate ullam harum. Natus blanditiis iusto sapiente. Consequuntur maxime quo officiis nisi inventore quia. Nostrum sed et magni eum animi necessitatibus.,2024-10-12,Vinícius Oliveira,10,Economia
A ipsum rem autem.,Accusantium necessitatibus voluptatum dolorem officiis similique porro totam fugit laborum molestiae voluptatibus.,Dolore sequi dolore minima. Animi quas officiis aut. Labore doloremque deserunt non quaerat. Itaque tempora sed dolorem aperiam excepturi ducimus. Rem nesciunt quibusdam veritatis ducimus ab.,2024-01-22,Kevin Silva,10,Tecnologia
Alias consequatur voluptatem harum autem harum aliquid.,Nobis eum maxime corrupti voluptatem placeat eos commodi aspernatur quos quisquam non.,Sed adipisci nostrum exercitationem explicabo magnam dignissimos. Repudiandae minus ipsum nihil ad. Iusto earum repudiandae.,2024-07-07,Cauã Costa,0,Entretenimento
Amet tempora molestiae quos.,Inventore distinctio magnam cumque in est modi eum illo cum.,Facilis dolore veritatis non possimus ratione magni. Consectetur dignissimos maxime. Mollitia sint recusandae vero illo explicabo quo nobis. Harum in at molestias et amet. Delectus deleniti quo soluta incidunt voluptate nisi.,2024-10-11,Dra. Natália Machado,10,Política
Blanditiis maxime blanditiis beatae magni perferendis aliquam.,Ea consequuntur facilis cumque id architecto a aut.,Itaque dignissimos veritatis id quisquam. Nemo dolores voluptatibus sequi corrupti labore. Temporibus laudantium impedit. In et sequi soluta ullam sunt vero. Vitae eum aliquid totam repellat ullam dolorem.,2024-02-23,Luísa da Mota,12,Esportes
